,Unnamed: 0,0,1
0,0,0.7417120337486267,0.0578381046652793
1,1,0.9970311522483826,0.0102046309038996
2,2,0.2681840658187866,0.1416344940662384
3,3,0.7417120337486267,0.0578381046652793
4,4,0.2642256021499634,0.1648869514465332
5,5,0.6971796154975891,0.0778598859906196
6,6,0.7417120337486267,0.0578381046652793
7,7,0.9178624153137208,0.0259261671453714
8,8,0.65660560131073,0.092039369046688
9,9,0.9223157167434692,0.0156603809446096
10,10,0.7991093397140503,0.0361599028110504
11,11,0.6026719808578491,0.1097502559423446
12,12,0.9619000554084778,0.0120163839310407
13,13,0.9178624153137208,0.0259261671453714
14,14,0.6001979112625122,0.1103729307651519
15,15,0.6397823095321655,0.0992321968078613
16,16,0.8273131847381592,0.0297822225838899
17,17,0.682830274105072,0.0885855928063392
18,18,0.7842652201652527,0.0451601780951023
19,19,0.0856012105941772,0.2466553002595901
20,20,0.0,0.3125919997692108
21,21,0.4858980774879455,0.1276137232780456
22,22,0.2068282961845398,0.1956578344106674
23,23,0.7263730764389038,0.0588306300342083
24,24,1.0,0.0071764471940696
